"index","id","name","alias","type","rating","review_count","price","location","latitude","longitude"
"0","5miNhLxuxaW5zLEchv6oPw","Dialog Cafe","dialog-cafe-west-hollywood","cafes","4.5",1332,"1",90069,"34.0905","-118.383"
"1","OSYoTFAfq9_wFyDH_qUsTA","The Griddle Cafe","the-griddle-cafe-hollywood","breakfast_brunch","4",5562,"2",90046,"34.0978","-118.362"
"2","EWbbiUBkGzCYrEoOF05HzA","Gracias Madre","gracias-madre-west-hollywood","mexican","4",3750,"2",90069,"34.0808","-118.387"
"3","Su2ts0CfPazGJe6zWNb12A","Fresh Corn Grill","fresh-corn-grill-west-hollywood","pizza","4.5",924,"2",90069,"34.0869","-118.38"
"4","0MbnNM2IvNWMQ1YsPfDTjQ","The Butcher. The Baker. The Cappuccino Maker","the-butcher-the-baker-the-cappuccino-maker-west-hollywood-2","newamerican","4",1215,"2",90069,"34.0921","-118.381"
"5","Ti0RVRsGcvcjESsMh1iIlg","Burger Lounge","burger-lounge-west-hollywood","burgers","4.5",572,"2",90069,"34.0937","-118.378"
"6","pbalg1VNA8JMVt9kIiATUA","Katana","katana-west-hollywood","sushi","4",1586,"3",90069,"34.0951","-118.374"
"7","_vFkAGFg9lAPRxG7gy3dQw","Fig & Olive - Melrose Place","fig-and-olive-melrose-place-west-hollywood-2","mediterranean","4",2344,"3",90069,"34.0834","-118.376"
"8","aEwYN9SQPi0BYnpe2-xUug","Urth Caffé- Melrose","urth-caffé-melrose-west-hollywood","sandwiches","4",2680,"2",90069,"34.0822","-118.379"
"9","jaNacyO8EzjJwE4uI8JWKw","Poké Bar","poké-bar-west-hollywood-2","hawaiian","4.5",412,"2",90069,"34.0937","-118.378"
"10","vnLHXjXRK3Euzkq8vRYzqA","Barton G. The Restaurant Los Angeles","barton-g-the-restaurant-los-angeles-los-angeles-2","tradamerican","3.5",2149,"3",90069,"34.087","-118.377"
"11","B-JY4uOniEo9WHbz1i8mig","Taste on Melrose","taste-on-melrose-west-hollywood-2","newamerican","4",2432,"2",90069,"34.0826","-118.375"
"12","BAnC30_CaFiBOd6Fv9KgBg","Animal","animal-los-angeles","newamerican","4",3276,"3",90036,"34.0793","-118.362"
"13","GjpAnUJ-3ULwomzYX68WNg","Bambou Le Pho","bambou-le-pho-west-hollywood","vietnamese","4.5",997,"2",90069,"34.091","-118.372"
"14","ki5SNb4Lli6uOklz6BXXGw","Blu Jam Café","blu-jam-café-los-angeles-2","newamerican","4",4794,"2",90046,"34.0837","-118.351"
"15","Z82CwJYOsbURtoIaqqO28Q","BOA Steakhouse","boa-steakhouse-west-hollywood","steak","4",1697,"4",90069,"34.0898","-118.393"
