labels_km,value,distance_centroid,price_1.0,price_2.0,price_3.0,price_4.0,rating_0.0,rating_1.0,rating_1.5,rating_2.0,rating_2.5,rating_3.0,rating_3.5,rating_4.0,rating_4.5,rating_5.0,type_aa_other,type_asianfusion,type_bakeries,type_bars,type_bbq,type_breakfast_brunch,type_burgers,type_cafes,type_chicken_wings,type_chinese,type_cocktailbars,type_coffee,type_convenience,type_delis,type_desserts,type_diners,type_divebars,type_donuts,type_filipino,type_foodstands,type_foodtrucks,type_french,type_grocery,type_hotdogs,type_icecream,type_indpak,type_italian,type_japanese,type_juicebars,type_korean,type_latin,type_lounges,type_mediterranean,type_mexican,type_mideastern,type_newamerican,type_persian,type_pizza,type_ramen,type_salad,type_salvadoran,type_sandwiches,type_seafood,type_sportsbars,type_streetvendors,type_sushi,type_tacos,type_thai,type_tradamerican,type_vegan,type_vietnamese,type_wine_bars
0,1113719.0,0.012419213414634136,73.0,141.0,8.0,5.0,0.0,0.0,4.0,5.0,11.0,16.0,48.0,75.0,56.0,12.0,47,3,13,2,0,5,4,4,0,12,0,7,4,15,8,0,0,3,0,0,2,3,2,5,1,7,8,4,0,0,0,0,6,5,5,3,3,16,0,0,0,2,4,0,2,11,0,10,1,0,0,0
1,566461.0,0.013537013898080763,44.0,23.0,1.0,0.0,0.0,0.0,3.0,5.0,13.0,12.0,13.0,12.0,9.0,1.0,7,0,0,2,0,0,4,0,2,5,0,4,3,3,2,0,1,1,0,0,1,0,0,10,0,0,0,2,0,0,0,0,0,10,0,0,0,2,0,0,0,6,0,0,0,0,0,1,2,0,0,0
2,349797.0,0.012993381508079013,196.0,26.0,0.0,0.0,0.0,3.0,4.0,6.0,19.0,39.0,20.0,64.0,52.0,15.0,8,3,6,2,3,0,16,8,0,10,0,9,2,0,2,3,0,4,0,3,4,0,2,16,6,0,0,3,2,0,0,0,0,70,0,0,2,12,0,0,5,5,9,0,2,0,2,0,0,0,3,0
3,267585.0,0.005273788135593222,323.0,403.0,34.0,15.0,0.0,1.0,2.0,8.0,23.0,63.0,171.0,296.0,181.0,30.0,92,7,10,31,4,21,24,15,1,14,33,70,4,19,11,4,6,3,7,4,7,4,3,13,12,4,13,21,7,2,2,28,11,62,4,34,8,30,6,12,4,31,13,6,3,15,1,7,18,6,4,4
4,1559593.0,0.020145870967741925,6.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,7.0,2.0,2,0,0,0,4,0,2,0,0,0,0,4,0,0,2,0,0,0,0,0,3,0,0,0,2,0,2,0,3,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
5,528170.0,0.017000663120567368,64.0,21.0,0.0,0.0,0.0,3.0,2.0,2.0,9.0,5.0,12.0,29.0,17.0,6.0,5,0,1,0,0,3,3,2,0,3,0,2,1,0,2,0,0,3,0,0,10,0,0,8,2,0,0,2,0,0,0,0,1,19,0,0,0,7,0,0,0,1,2,0,0,2,1,4,1,0,0,0
6,1065258.0,0.015901606761565757,258.0,431.0,70.0,10.0,0.0,0.0,7.0,17.0,43.0,72.0,198.0,286.0,127.0,19.0,124,6,3,52,0,20,16,5,5,6,19,40,5,3,19,8,10,5,0,1,10,6,3,16,13,9,20,22,14,3,5,27,15,55,3,41,0,47,5,6,2,10,7,10,8,21,3,13,17,5,3,3
7,582375.0,0.014640375838926165,96.0,134.0,8.0,4.0,0.0,0.0,2.0,6.0,15.0,45.0,58.0,87.0,22.0,7.0,35,0,2,2,4,2,10,6,2,14,0,16,1,6,7,0,0,6,0,0,0,0,0,8,7,0,4,8,1,2,0,1,5,17,2,12,0,13,0,9,0,12,8,0,0,4,2,2,8,2,2,0
8,320171.0,0.012008922305764403,64.0,12.0,0.0,0.0,0.0,0.0,13.0,10.0,13.0,6.0,10.0,11.0,8.0,5.0,5,0,0,0,3,0,12,0,6,3,0,2,4,0,0,0,0,0,0,0,0,0,2,13,2,0,0,0,0,0,0,0,0,11,0,0,0,7,0,0,0,4,2,0,0,0,0,0,0,0,0,0
9,724594.0,0.014745413793103446,31.0,184.0,9.0,4.0,0.0,3.0,22.0,51.0,56.0,52.0,22.0,13.0,7.0,2.0,29,4,7,7,0,6,20,8,2,4,1,18,1,4,1,0,0,1,0,2,0,6,0,8,1,0,4,0,0,0,0,1,0,14,0,14,0,16,0,2,0,14,2,5,0,2,0,0,20,2,0,2
