"index","id","name","alias","type","rating","review_count","price","location","latitude","longitude"
"0","9fEG4fIAc1DgrghJ2Bo2Vw","The Crawfish Co","the-crawfish-co-sylmar-3","cajun","4.5",319,"2",91342,"34.3103","-118.429"
"1","fe7WfjLwWsfFdvuJ2lhDxg","Truman House Tavern","truman-house-tavern-san-fernando-2","gastropubs","4.5",210,"2",91340,"34.2819","-118.44"
"2","fzLtFDsHZSuDC36Tlw_3DQ","Ranch Side Cafe","ranch-side-cafe-sylmar","tradamerican","4",166,"2",91342,"34.2763","-118.379"
"3","CjBiw0DusS7ymVZcq8BTeA","Hide Away Cafe Mexican Grill","hide-away-cafe-mexican-grill-los-angeles-2","mexican","4.5",10,"1",91342,"34.2821","-118.373"
"4","jx-Ptpw7tNvLPnP97N6HBQ","Villa Terraza","villa-terraza-shadow-hills","italian","4.5",202,"2",91040,"34.2531","-118.346"
"5","2LL5lILqX7zhxrD0KvdKpg","786 Degrees","786-degrees-los-angeles-5","pizza","5",1624,"2",91352,"34.2305","-118.403"
"6","7Kj7DLsIhIlH5DG96X72kQ","Crazy Goody","crazy-goody-san-fernando-2","japanese","4",357,"1",91340,"34.2938","-118.418"
"7","LFMNHugjER-AOYBYKhyyAA","Taqueria Mi Ranchito","taqueria-mi-ranchito-sylmar-6","foodtrucks","5",240,"1",91342,"34.3124","-118.437"
"8","15o7pFb86beypqtklhGZ-w","House of Skewers","house-of-skewers-sunland-2","mediterranean","5",231,"1",91040,"34.2595","-118.317"
"9","CDlvBVybOATkulL3yXFVHg","Hideaway Country Bar & Grill","hideaway-country-bar-and-grill-sylmar","tradamerican","3.5",55,"1",91342,"34.2891","-118.376"
"10","4PoO44hdEUP4XaHjGzgN1g","Sylmars Fix","sylmars-fix-sylmar","italian","4",657,"2",91342,"34.3097","-118.433"
"11","1zGSbpTYyKExIrHpIzLI1A","Old Fashioned Chiliburgers & Sandwiches","old-fashioned-chiliburgers-and-sandwiches-san-fernando","tradamerican","4.5",400,"1",91340,"34.2858","-118.438"
"12","lRuohVL4RyVuvY2EZapisQ","Taqueria Los Compadres","taqueria-los-compadres-sylmar","mexican","4.5",86,"1",91342,"34.2752","-118.396"
"13","nw8dYb5NA7C5_VbhtZmGeg","Dome Pochana","dome-pochana-sylmar","thai","4",260,"2",91342,"34.3105","-118.428"
"14","x5E7HLv9HBcL6WR7zIUTMg","Let's Eat!","lets-eat-los-angeles","salad","4",97,"1",91342,"34.3015","-118.443"
"15","xvD5_h7j5130fpB1RP44Ag","Saborcitos Latinos","saborcitos-latinos-san-fernando-2","mexican","4.5",172,"2",91340,"34.2958","-118.424"
"16","JTvBTaEmLxrKEnrDhXXfyw","Big Pop's BBQ and Grill","big-pops-bbq-and-grill-pacoima","bbq","4",199,"2",91331,"34.2648","-118.402"
"17","-mXvgDp2_SGf1wMQack0HQ","Chop Shop Butcher & Kitchen","chop-shop-butcher-and-kitchen-granada-hills-4","butcher","4.5",373,"2",91344,"34.2728","-118.502"
"18","d1UyXgpteZxgBvm1y-gx9w","Las Llamas Pollos","las-llamas-pollos-sylmar","peruvian","4",85,"2",91342,"34.3133","-118.437"
"19","hZpEgmFqJNFGlydDRnd1Ig","Agave Bar and Grill","agave-bar-and-grill-sunland","tradamerican","3.5",137,"2",91040,"34.2668","-118.334"
"20","waEMbyiFqesUHTfZc3lAlw","Tender Grill Cafe","tender-grill-cafe-san-fernando","mediterranean","4.5",273,"1",91340,"34.2822","-118.439"
"21","UV5EtN4OzrzUGJE2TVfkpw","The Back Door Bakery & Cafe","the-back-door-bakery-and-cafe-sunland-2","coffee","4",427,"2",91040,"34.2598","-118.315"
"22","-fE6kPlNYizGp3-YpdchaA","Asumare","asumare-san-fernando","peruvian","4.5",153,"2",91340,"34.2806","-118.439"
"23","0lWq6ovyHUK0fnKgS18Ynw","Burgerim","burgerim-los-angeles-5","newamerican","3.5",53,"2",91342,"34.3084","-118.434"
"24","7Q2OnF2IQWR32G1qVYup3Q","Caruso's Italian kitchen","carusos-italian-kitchen-sylmar","pizza","3.5",319,"2",91342,"34.3094","-118.433"
"25","scbNJdbb-DvMd1-6s6mICg","Pizzaholic","pizzaholic-pacoima","pizza","4",356,"2",91331,"34.2654","-118.402"
"26","_lIIomFEZFjvTOl-c3dtow","Horchateria Rio Luna","horchateria-rio-luna-san-fernando","desserts","4",144,"1",91340,"34.2857","-118.438"
"27","U9jrrN-0x1W-eeGa8VMZRg","Cha Chaa","cha-chaa-los-angeles-2","thai","4.5",66,"1",91331,"34.2648","-118.402"
"28","iFfJ2KctcVcZoZIdzgjr8w","Sake Sake Japanese Cuisine","sake-sake-japanese-cuisine-sunland","japanese","4",213,"2",91040,"34.26","-118.315"
"29","4oy-kyDZxs5aY1cS0l_KcQ","Link N Hops","link-n-hops-los-angeles-3","newamerican","4.5",170,"2",91040,"34.2599","-118.307"
"30","4iAYVVXHKlgT99oElE-4sw","Buffalo Bruce's Mercantile","buffalo-bruces-mercantile-sylmar","coffee","4.5",288,"1",91342,"34.3073","-118.431"
"31","wgtKqTxfoprlR_EwNzlIhQ","Cítrico Ceviche","cítrico-ceviche-los-angeles-2","seafood","5",19,"1",91345,"34.2724","-118.465"
"32","Cu6pHULKN4kxiKCknmnYdA","Xevichez Sushi Bar","xevichez-sushi-bar-los-angeles-2","japanese","3",1251,"2",91342,"34.2983","-118.441"
"33","zpamkyBk8NMwbs7sxGk8lQ","Ay Papa Que Rico","ay-papa-que-rico-arleta","cuban","4.5",267,"2",91331,"34.2542","-118.439"
"34","0GH7d6je3Jwl6UzT9fCfyQ","Rice Avenue","rice-avenue-sunland","thai","4",237,"1",91040,"34.2596","-118.322"
"35","FkCXYECSMNyLjLQiz3r2TA","Odyssey","odyssey-granada-hills","newamerican","4",1475,"3",91344,"34.2827","-118.473"
"36","I5Snm_F8dXU4G3HsZcMiQQ","ToriYen Sushi Ramen Japanese Restaurant","toriyen-sushi-ramen-japanese-restaurant-tujunga-7","sushi","4",174,"2",91042,"34.2512","-118.294"
"37","dTX7RzdU0EJHaTQfAAatng","Papa Juan's Baja Grill","papa-juans-baja-grill-san-fernando","mexican","4",331,"2",91340,"34.2857","-118.438"
"38","txAe8UjYwCBv85UVasGyiQ","Like's Thai & Chinese Food","likes-thai-and-chinese-food-los-angeles-2","thai","4.5",153,"1",91040,"34.2599","-118.323"
"39","968e6d9QUE2TsgP4WcaGVw","CF Food Kitchen","cf-food-kitchen-granada-hills-2","newamerican","4.5",521,"2",91344,"34.2577","-118.485"
"40","NgblvyxSQLMuc7BSU3v_QQ","Corner Grille","corner-grille-panorama-city","korean","4.5",926,"1",91402,"34.2211","-118.468"
"41","MwMSPROnVTYIOMLtXQcKyw","Pupuseria Cuzcatlan","pupuseria-cuzcatlan-pacoima","salvadoran","4.5",73,"1",91331,"34.271","-118.416"
"42","M80mz2a9NPcPeYw85f6xAw","Ceviches","ceviches-san-fernando","seafood","4.5",57,"1",91340,"34.2862","-118.438"
"43","ao_x5d8wmgaIT-MxT_tDqg","Antonio's Tacos & Kabob","antonios-tacos-and-kabob-pacoima","mexican","4.5",456,"1",91331,"34.2604","-118.43"
"44","nEqmi7bXMLFaPA4hNwq0aQ","Shawarma House","shawarma-house-sunland","bbq","4",179,"1",91040,"34.26","-118.319"
"45","g1KeeJPA33Aaum8CNpv3rw","Nihari House","nihari-house-los-angeles","halal","4.5",205,"2",91331,"34.2557","-118.435"
"46","AGAdOZLEi0CrqdloQzysHA","Teriyaki Madness","teriyaki-madness-san-fernando","japanese","4",283,"1",91340,"34.2853","-118.444"
"47","bI0lt4WMLdk54UiAmem38w","Rosarito Fish Market","rosarito-fish-market-san-fernando","seafood","4.5",270,"2",91340,"34.2883","-118.448"
"48","cP3wMdnnUWcRR-xp8ynmPA","Annie's Sweet Oven","annies-sweet-oven-sylmar","coffee","5",161,"1",91342,"34.3218","-118.479"
"49","Ei-4NzVq5qCZdUm8SLg5uQ","The 19th Hole Restaurant","the-19th-hole-restaurant-sylmar","breakfast_brunch","4",36,"1",91342,"34.3116","-118.417"
"50","BEzAeUbwXemm5Jj0m_a7EQ","The Buffalo Spot","the-buffalo-spot-san-fernando","chicken_wings","3.5",70,"1",91340,"34.2847","-118.444"
