,name,id,price,alias,type,category,rating,zip,latitude,longitude,labels_km,centroid_latitude,centroid_longitude,distance_centroid
0,The Crawfish Co,9fEG4fIAc1DgrghJ2Bo2Vw,2.0,the-crawfish-co-sylmar-3,cajun,cajun,4.5,91342,34.3103,-118.429,48,34.30643088235294,-118.43566176470588,0.007704
1,Truman House Tavern,fe7WfjLwWsfFdvuJ2lhDxg,2.0,truman-house-tavern-san-fernando-2,gastropubs,gastropubs,4.5,91340,34.2819,-118.44,83,34.2834992,-118.442816,0.003238
2,Ranch Side Cafe,fzLtFDsHZSuDC36Tlw_3DQ,2.0,ranch-side-cafe-sylmar,tradamerican,tradamerican,4.0,91342,34.2763,-118.37899999999999,25,34.277959375,-118.410546875,0.03159
3,Hide Away Cafe Mexican Grill,CjBiw0DusS7ymVZcq8BTeA,1.0,hide-away-cafe-mexican-grill-los-angeles-2,mexican,mexican,4.5,91342,34.2821,-118.37299999999999,25,34.277959375,-118.410546875,0.037774
4,Villa Terraza,jx-Ptpw7tNvLPnP97N6HBQ,2.0,villa-terraza-shadow-hills,italian,italian,4.5,91040,34.2531,-118.346,35,34.259617142857145,-118.31491428571428,0.031762
5,786 Degrees,2LL5lILqX7zhxrD0KvdKpg,2.0,786-degrees-los-angeles-5,pizza,pizza,5.0,91352,34.2305,-118.40299999999999,100,34.216013636363634,-118.39180303030302,0.018309
6,Crazy Goody,7Kj7DLsIhIlH5DG96X72kQ,1.0,crazy-goody-san-fernando-2,japanese,japanese,4.0,91340,34.2938,-118.41799999999999,25,34.277959375,-118.410546875,0.017506
7,Taqueria Mi Ranchito,LFMNHugjER-AOYBYKhyyAA,1.0,taqueria-mi-ranchito-sylmar-6,foodtrucks,foodtrucks,5.0,91342,34.3124,-118.43700000000001,48,34.30643088235294,-118.43566176470588,0.006117
8,House of Skewers,15o7pFb86beypqtklhGZ-w,1.0,house-of-skewers-sunland-2,mediterranean,mediterranean,5.0,91040,34.2595,-118.31700000000001,35,34.259617142857145,-118.31491428571428,0.002089
9,Hideaway Country Bar & Grill,CDlvBVybOATkulL3yXFVHg,1.0,hideaway-country-bar-and-grill-sylmar,tradamerican,tradamerican,3.5,91342,34.2891,-118.376,25,34.277959375,-118.410546875,0.036299
10,Sylmars Fix,4PoO44hdEUP4XaHjGzgN1g,2.0,sylmars-fix-sylmar,italian,italian,4.0,91342,34.3097,-118.43299999999999,48,34.30643088235294,-118.43566176470588,0.004216
11,Old Fashioned Chiliburgers & Sandwiches,1zGSbpTYyKExIrHpIzLI1A,1.0,old-fashioned-chiliburgers-and-sandwiches-san-fernando,tradamerican,tradamerican,4.5,91340,34.2858,-118.43799999999999,83,34.2834992,-118.442816,0.005337
12,Taqueria Los Compadres,lRuohVL4RyVuvY2EZapisQ,1.0,taqueria-los-compadres-sylmar,mexican,mexican,4.5,91342,34.2752,-118.396,25,34.277959375,-118.410546875,0.014806
13,Dome Pochana,nw8dYb5NA7C5_VbhtZmGeg,2.0,dome-pochana-sylmar,thai,thai,4.0,91342,34.3105,-118.428,48,34.30643088235294,-118.43566176470588,0.008675
